Type,Days_for _shipping (real),Days_for_shipment (scheduled),Benefit _per_order,Sales_per_customer,Delivery_Status,Late_delivery_risk,Category_Id,Category_Name,Customer_City,Customer_Country,Customer_Fname,Customer_Id,Customer_Lname,Customer_Segment,Customer_State,Department_Id,Department_Name,Latitude,Longitude,Market,Order_City,Order_Country,Order_Customer_Id,order_date (DateOrders),Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit Ratio,Order_Item_Quantity,Sales,Order_Item_Total,Order_Profit_Per Order,Order_Region,Order_State,Order_Status,Product_Card_Id,Product_Category_Id,Product_Name,Product_Price,Product_Status,shipping_date (DateOrders),Shipping_Mode,Delivery_Delay,order_date
DEBIT,3,4,91.25,314.6400146,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,Cally,20755,Holloway,Consumer,PR,2,Fitness,18.2514534,-66.03705597,Pacific Asia,Bekasi,Indonesia,20755,1/31/2018 22:00,77202,1360,13.10999966,0.039999999,180517,327.75,0.289999992,1,327.75,314.6400146,91.25,Southeast Asia,Java Occidental,COMPLETE,1360,73,Smart watch ,327.75,0,2/3/2018 22:00,Standard Class,-1,1/31/2018 22:00
TRANSFER,5,4,-249.0899963,311.3599854,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Irene,19492,Luna,Consumer,PR,2,Fitness,18.27945137,-66.0370636,Pacific Asia,Bikaner,India,19492,1/13/2018 12:00,75939,1360,16.38999939,0.050000001,179254,327.75,-0.800000012,1,327.75,311.3599854,-249.0899963,South Asia,Rajastán,PENDING,1360,73,Smart watch ,327.75,0,1/18/2018 12:00,Standard Class,1,1/13/2018 12:00
CASH,4,4,-247.7799988,309.7200012,Shipping on time,0,73,Sporting Goods,San Jose,EE. UU.,Gillian,19491,Maldonado,Consumer,CA,2,Fitness,37.29223251,-121.881279,Pacific Asia,Bikaner,India,19491,1/13/2018 12:00,75938,1360,18.03000069,0.059999999,179253,327.75,-0.800000012,1,327.75,309.7200012,-247.7799988,South Asia,Rajastán,CLOSED,1360,73,Smart watch ,327.75,0,1/17/2018 12:00,Standard Class,0,1/13/2018 12:00
DEBIT,3,4,22.86000061,304.8099976,Advance shipping,0,73,Sporting Goods,Los Angeles,EE. UU.,Tana,19490,Tate,Home Office,CA,2,Fitness,34.12594605,-118.2910156,Pacific Asia,Townsville,Australia,19490,1/13/2018 11:00,75937,1360,22.94000053,0.07,179252,327.75,0.079999998,1,327.75,304.8099976,22.86000061,Oceania,Queensland,COMPLETE,1360,73,Smart watch ,327.75,0,1/16/2018 11:00,Standard Class,-1,1/13/2018 11:00
PAYMENT,2,4,134.2100067,298.25,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,Orli,19489,Hendricks,Corporate,PR,2,Fitness,18.25376892,-66.03704834,Pacific Asia,Townsville,Australia,19489,1/13/2018 11:00,75936,1360,29.5,0.090000004,179251,327.75,0.449999988,1,327.75,298.25,134.2100067,Oceania,Queensland,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/15/2018 11:00,Standard Class,-2,1/13/2018 11:00
TRANSFER,6,4,18.57999992,294.980011,Shipping canceled,0,73,Sporting Goods,Tonawanda,EE. UU.,Kimberly,19488,Flowers,Consumer,NY,2,Fitness,43.01396942,-78.87906647,Pacific Asia,Toowoomba,Australia,19488,1/13/2018 11:00,75935,1360,32.77999878,0.100000001,179250,327.75,0.059999999,1,327.75,294.980011,18.57999992,Oceania,Queensland,CANCELED,1360,73,Smart watch ,327.75,0,1/19/2018 11:00,Standard Class,2,1/13/2018 11:00
DEBIT,2,1,95.18000031,288.4200134,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Constance,19487,Terrell,Home Office,PR,2,Fitness,18.24253845,-66.03705597,Pacific Asia,Guangzhou,China,19487,1/13/2018 10:00,75934,1360,39.33000183,0.119999997,179249,327.75,0.330000013,1,327.75,288.4200134,95.18000031,Eastern Asia,Guangdong,COMPLETE,1360,73,Smart watch ,327.75,0,1/15/2018 10:00,First Class,1,1/13/2018 10:00
TRANSFER,2,1,68.43000031,285.1400146,Late delivery,1,73,Sporting Goods,Miami,EE. UU.,Erica,19486,Stevens,Corporate,FL,2,Fitness,25.92886925,-80.16287231,Pacific Asia,Guangzhou,China,19486,1/13/2018 10:00,75933,1360,42.61000061,0.129999995,179248,327.75,0.239999995,1,327.75,285.1400146,68.43000031,Eastern Asia,Guangdong,PROCESSING,1360,73,Smart watch ,327.75,0,1/15/2018 10:00,First Class,1,1/13/2018 10:00
CASH,3,2,133.7200012,278.5899963,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Nichole,19485,Olsen,Corporate,PR,2,Fitness,18.23322296,-66.03705597,Pacific Asia,Guangzhou,China,19485,1/13/2018 10:00,75932,1360,49.15999985,0.150000006,179247,327.75,0.479999989,1,327.75,278.5899963,133.7200012,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch ,327.75,0,1/16/2018 10:00,Second Class,1,1/13/2018 10:00
CASH,2,1,132.1499939,275.3099976,Late delivery,1,73,Sporting Goods,San Ramon,EE. UU.,Oprah,19484,Delacruz,Corporate,CA,2,Fitness,37.77399063,-121.966629,Pacific Asia,Guangzhou,China,19484,1/13/2018 9:00,75931,1360,52.43999863,0.159999996,179246,327.75,0.479999989,1,327.75,275.3099976,132.1499939,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch ,327.75,0,1/15/2018 9:00,First Class,1,1/13/2018 9:00
